id,order_id,payment_method,amount,status
1,1,credit_card,1000,success
2,2,credit_card,2000,success
3,3,coupon,100,success
4,4,coupon,2500,success
5,5,bank_transfer,1700,success
6,6,credit_card,600,success
7,7,credit_card,1600,success
8,8,credit_card,2300,success
9,9,gift_card,2300,success
10,9,bank_transfer,0,success
11,10,bank_transfer,2600,success
12,11,credit_card,2700,success
13,12,credit_card,100,success
14,13,credit_card,500,success
15,13,bank_transfer,1400,success
16,14,bank_transfer,300,success
17,15,coupon,2200,success
18,16,credit_card,1000,success
19,17,bank_transfer,200,success
20,18,credit_card,500,success
21,18,credit_card,800,success
22,19,gift_card,600,success
23,20,bank_transfer,1500,success
24,21,credit_card,1200,success
25,22,bank_transfer,800,success
26,23,gift_card,2300,success
27,24,coupon,2600,success
28,25,bank_transfer,2000,success
29,25,credit_card,2200,success
30,25,coupon,1600,success
31,26,credit_card,3000,success
32,27,credit_card,2300,success
33,28,bank_transfer,1900,success
34,29,bank_transfer,1200,success
35,30,credit_card,1300,success
36,31,credit_card,1200,success
37,32,credit_card,300,success
38,33,credit_card,2200,success
39,34,bank_transfer,1500,success
40,35,credit_card,2900,success
41,36,bank_transfer,900,success
42,37,credit_card,2300,success
43,38,credit_card,1500,success
44,39,bank_transfer,800,success
45,40,credit_card,1400,success
46,41,credit_card,1700,success
47,42,coupon,1700,success
48,43,gift_card,1800,success
49,44,gift_card,1100,success
50,45,bank_transfer,500,success
51,46,bank_transfer,800,success
52,47,credit_card,2200,success
53,48,bank_transfer,300,success
54,49,credit_card,600,success
55,49,credit_card,900,success
56,50,credit_card,2600,success
57,51,credit_card,2900,success
58,51,credit_card,100,success
59,52,bank_transfer,1500,success
60,53,credit_card,300,success
61,54,credit_card,1800,success
62,54,bank_transfer,1100,success
63,55,credit_card,2900,success
64,56,credit_card,400,success
65,57,bank_transfer,200,success
66,58,coupon,1800,success
67,58,gift_card,600,success
68,59,gift_card,2800,success
69,60,credit_card,400,success
70,61,bank_transfer,1600,success
71,62,gift_card,1400,success
72,63,credit_card,2900,success
73,64,bank_transfer,2600,success
74,65,credit_card,0,success
75,66,credit_card,2800,success
76,67,bank_transfer,400,success
77,67,credit_card,1900,success
78,68,credit_card,1600,success
79,69,credit_card,1900,success
80,70,credit_card,2600,success
81,71,credit_card,500,success
82,72,credit_card,2900,success
83,73,bank_transfer,300,success
84,74,credit_card,3000,success
85,75,credit_card,1900,success
86,76,coupon,200,success
87,77,credit_card,0,success
88,77,bank_transfer,1900,success
89,78,bank_transfer,2600,success
90,79,credit_card,1800,success
91,79,credit_card,900,success
92,80,gift_card,300,success
93,81,coupon,200,success
94,82,credit_card,800,success
95,83,credit_card,100,success
96,84,bank_transfer,2500,success
97,85,bank_transfer,1700,success
98,86,coupon,2300,fail
99,87,gift_card,3000,fail
100,87,credit_card,2600,fail
101,88,credit_card,2900,fail
102,89,bank_transfer,2200,fail
103,90,bank_transfer,200,fail
104,91,credit_card,1900,fail
105,92,bank_transfer,1500,fail
106,92,coupon,200,fail
107,93,gift_card,2600,fail
108,94,coupon,700,fail
109,95,coupon,2400,fail
110,96,gift_card,1700,fail
111,97,bank_transfer,1400,fail
112,98,bank_transfer,1000,fail
113,99,credit_card,2400,fail